CustomerID,purchase_cnt,item_cnt,recency,user_total,user_average,unique_products,average_interval,total_transactions,cancel_frequency,cancel_rate
14646,74,196261,1,277623.5,3751.7,696,0.17,74,2,0.03
18102,60,61724,0,256424.5,4273.7,144,0.87,60,0,0.0
17450,50,66911,8,178924.0,3578.5,124,1.08,50,4,0.08
14911,242,76200,1,127264.6,525.9,1768,0.06,242,44,0.18
12415,24,76334,24,121540.0,5064.2,439,0.41,24,4,0.17
14156,64,56021,9,111603.3,1743.8,706,0.26,64,10,0.16
17511,45,62655,2,87450.1,1943.3,458,0.35,45,14,0.31
16684,31,48634,4,64304.5,2074.3,118,1.3,31,3,0.1
13694,59,61518,3,62465.9,1058.7,365,0.64,59,9,0.15
16029,72,33538,38,59976.3,833.0,43,1.28,72,10,0.14
15311,118,37598,0,59124.2,501.1,566,0.15,118,27,0.23
13089,118,30732,2,57287.0,485.5,634,0.2,118,21,0.18
15061,54,28638,3,54250.3,1004.6,70,0.9,54,6,0.11
17949,49,27572,1,53215.7,1086.0,28,4.93,49,5,0.1
14096,17,16297,4,53081.0,3122.4,1107,0.02,17,0,0.0
15769,29,27660,7,51823.7,1787.0,26,2.49,29,3,0.1
14298,45,57475,3,50184.0,1115.2,875,0.22,45,1,0.02
14088,14,12534,10,50111.5,3579.4,375,0.54,14,1,0.07
15098,4,61,182,39619.5,9904.9,1,0.0,4,1,0.25
17841,168,22462,1,39457.3,234.9,1319,0.05,168,45,0.27
13798,63,23467,1,36334.1,576.7,114,0.85,63,6,0.1
16422,63,32861,17,34197.9,542.8,71,0.92,63,12,0.19
12931,19,23577,21,33544.8,1765.5,28,3.36,19,4,0.21
16013,53,13846,3,33386.3,629.9,33,2.47,53,6,0.11
15838,21,9007,11,33350.8,1588.1,56,2.15,21,2,0.1
17389,42,7442,0,31317.5,745.7,47,1.53,42,8,0.19
17404,16,32200,4,29581.8,1848.9,107,1.83,16,3,0.19
12748,217,23330,0,29409.2,135.5,1737,0.09,217,11,0.05
13098,41,15887,1,28612.1,697.9,162,0.52,41,13,0.32
13081,20,18640,1,27733.4,1386.7,504,0.35,20,9,0.45
13408,79,16085,1,27467.4,347.7,234,0.75,79,17,0.22
14680,23,12473,25,26917.3,1170.3,82,1.09,23,7,0.3
16333,22,32184,7,26626.8,1210.3,9,6.86,22,0,0.0
17857,24,14652,3,25185.8,1049.4,18,7.39,24,2,0.08
13777,40,12088,0,24248.2,606.2,38,1.83,40,7,0.17
15749,4,9014,235,21535.9,5384.0,6,6.93,4,1,0.25
17381,30,25646,8,20272.4,675.7,40,3.34,30,1,0.03
17675,41,8254,1,19969.2,487.1,237,0.51,41,10,0.24
16210,17,6982,1,19866.7,1168.6,72,3.32,17,0,0.0
12753,11,10722,3,19725.6,1793.2,127,1.65,11,5,0.45
15039,52,9104,9,19598.3,376.9,406,0.24,52,5,0.1
12731,14,8323,23,18568.6,1326.3,106,1.25,14,2,0.14
15159,34,11264,1,18297.6,538.2,359,0.51,34,4,0.12
17428,33,9339,0,17041.0,516.4,253,1.08,33,5,0.15
13881,22,10026,3,16966.1,771.2,71,1.73,22,2,0.09
13767,52,7258,2,16945.7,325.9,55,0.93,52,15,0.29
12921,50,9454,3,16389.7,327.8,233,0.5,50,13,0.26
12471,45,7846,2,16323.5,362.7,150,0.73,45,18,0.4
12678,10,10876,42,16291.3,1629.1,103,1.98,10,1,0.1
